	tconst	Box office max	genres
277	tt13349892	428000000.0	Short
278	tt13352968	98000000.0	Animation
279	tt13352968	98000000.0	Action
280	tt13369990	40.0	Comedy
281	tt13375076	77000000.0	Drama
282	tt13375076	77000000.0	Documentary
283	tt13375076	77000000.0	History
284	tt13391708	497028.0	Action
285	tt13405778	1891000000.0	Comedy
286	tt13429870	36000000.0	Crime
287	tt13439102	2549000000.0	Drama
288	tt13453006	23000000.0	Musical
289	tt13482806	1000000.0	Comedy
290	tt13482806	1000000.0	Drama
291	tt13491088	29000000.0	Family
292	tt13495458	406644.0	Drama
293	tt13496236	121967.0	Family
294	tt13521006	115000000.0	Documentary
295	tt13528122	140272.0	Short
296	tt13540870	445000000.0	Action
297	tt13606158	2046000000000.0	Drama
298	tt13612186	478000000.0	Comedy
299	tt13612186	478000000.0	Drama
300	tt13612186	478000000.0	Documentary
301	tt13612186	478000000.0	Comedy
302	tt13645322	135.0	Horror
303	tt13651794	5000000.0	Thriller
304	tt13654122	45.0	Drama
305	tt13655120	66000000.0	Romance
306	tt13664684	11787.0	Short
307	tt13700900	597576.0	Comedy
308	tt13729232	12000000.0	Drama
309	tt13751210	2549000000.0	Romance
310	tt13769630	2196000000000.0	Documentary
311	tt13795334	4853000000.0	Short
312	tt13830296	11000000.0	Biography
313	tt13848804	78000000.0	Drama
314	tt13872598	346899.0	Sport
315	tt13872598	346899.0	Biography
316	tt13885428	17.0	Documentary
317	tt13925862	20000000000.0	Romance
318	tt13932162	12000000.0	Comedy
319	tt13932162	12000000.0	Drama
320	tt13932844	12000.0	Mystery
321	tt13943594	217000000.0	Short
322	tt13943594	217000000.0	Adventure
323	tt13943594	217000000.0	Drama
324	tt13957560	207000000.0	Horror
325	tt14039582	154000000.0	Action
326	tt14060094	16000000.0	Sci-Fi
327	tt14060094	16000000.0	Documentary
328	tt14099796	856000000.0	Short
329	tt14140676	428000000.0	Short
330	tt14162174	4853000000.0	Short
331	tt14166428	190250.0	Crime
332	tt14182646	85.0	Documentary
333	tt14208870	456000000.0	Action
334	tt14209916	90000000.0	Drama
335	tt14225838	7000000.0	Action
336	tt14225838	7000000.0	Crime
337	tt14225838	7000000.0	Drama
338	tt14230388	54000000.0	Drama
339	tt14230458	1172000000.0	Mystery
340	tt14230458	1172000000.0	Thriller
341	tt14230458	1172000000.0	Animation
342	tt14275050	281448.0	Short
343	tt14275050	281448.0	Action
344	tt14275050	281448.0	Thriller
345	tt14275050	281448.0	Animation
346	tt14280366	33000000.0	Drama
347	tt14299798	354023.0	Music
348	tt14330236	27000000.0	Thriller
349	tt14351082	202000000.0	Comedy
350	tt14362112	2096000000.0	Drama
351	tt14370462	66000000.0	Short
352	tt14370462	66000000.0	Drama
353	tt14371244	81000000.0	Short
354	tt14411774	85.0	Sport
355	tt14412366	98616.0	Comedy
356	tt14439896	218000000.0	Drama
357	tt14506102	450000.0	Comedy
358	tt14524640	615042.0	Drama
359	tt14534796	67000000.0	Comedy
360	tt14539740	5229000000.0	Comedy
361	tt14547524	475488.0	Action
362	tt14555754	346899.0	Adventure
363	tt14555754	346899.0	Animation
364	tt14564000	1715.0	Comedy
365	tt14576890	4853000000.0	Documentary
366	tt1462764	384000000.0	Horror
367	tt1464335	4071000000.0	Horror
368	tt14647404	352093.0	Short
369	tt14647404	352093.0	Crime
370	tt14648872	6000000.0	Drama
371	tt14668630	111000000.0	Horror
372	tt14771544	11.0	Action
373	tt14810692	299000000.0	Drama
374	tt14812238	85.0	Comedy
375	tt14818102	2549000000.0	Romance
376	tt14846026	143000000.0	Short
377	tt14849194	446000000.0	Short
378	tt14860210	85000000.0	Drama
379	tt14860210	85000000.0	Action
